epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1111.92,1.97541,10.7905,1.88747,0,0,0,0,1.29188,76.2666,1.25768,4.27706e-05,4.27706e-05,4.27706e-05
2,1557.21,1.80275,11.0299,1.74313,5e-05,0.00457,9e-05,5e-05,1.27563,77.1491,1.26464,6.90553e-05,6.90553e-05,6.90553e-05
3,2441.97,1.65297,11.2262,1.63457,0.73011,0.01826,0.00745,0.00519,1.22707,79.2253,1.22761,7.81801e-05,7.81801e-05,7.81801e-05
4,3089.25,1.63664,8.73682,1.59259,0.77443,0.03737,0.01438,0.00633,1.23078,83.8397,1.20322,5.278e-05,5.278e-05,5.278e-05
5,3820.91,1.59814,8.36643,1.52092,0.84472,0.01362,0.02093,0.01256,1.21737,80.5613,1.19366,2.704e-05,2.704e-05,2.704e-05
