epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6945.25,0.7801,1.09562,2.38781,0.76148,0,0.49504,0.46084,0.4007,0.26015,0.48371,0.44595,0.39742,0.24245,0.599,1.02314,8.0311,0.58495,0,0.000140678,0.000140678,0.000140678
29,7152.52,0.76158,1.10513,2.28761,0.74494,0,0.46921,0.465,0.41458,0.27342,0.45049,0.47727,0.39797,0.26051,0.61172,1.00381,9.9704,0.59639,0,0.000138778,0.000138778,0.000138778
30,7359.3,0.75899,1.08596,2.15485,0.74396,0,0.51654,0.4851,0.4084,0.26236,0.51877,0.47649,0.39633,0.25489,0.61978,0.97873,7.17976,0.59658,0,0.000136877,0.000136877,0.000136877
31,7567.32,0.7549,1.08197,2.07863,0.73299,0,0.55408,0.48892,0.49173,0.31979,0.54932,0.47683,0.49158,0.30333,0.61532,1.02722,7.10837,0.59446,0,0.000134976,0.000134976,0.000134976
32,7778.69,0.76203,1.07273,1.95978,0.76626,0,0.52719,0.44458,0.42961,0.27329,0.52095,0.44389,0.40925,0.25422,0.61059,1.02381,6.05608,0.594,0,0.000133075,0.000133075,0.000133075
33,7990.69,0.75178,1.05988,1.82207,0.74138,0,0.53265,0.48011,0.50582,0.32857,0.51831,0.44318,0.51253,0.32387,0.60263,1.01233,4.45885,0.59331,0,0.000131174,0.000131174,0.000131174
34,8201.47,0.73882,1.03155,1.69786,0.72666,0,0.58783,0.39639,0.48711,0.30325,0.44093,0.49475,0.47654,0.28947,0.61426,1.02138,4.39604,0.58607,0,0.000129274,0.000129274,0.000129274
35,8412.26,0.70345,1.02674,1.60975,0.71149,0,0.52114,0.49797,0.50957,0.34211,0.5181,0.49279,0.49485,0.30808,0.59918,1.05436,4.49544,0.57813,0,0.000127373,0.000127373,0.000127373
36,8622.63,0.69929,1.00886,1.54966,0.71007,0,0.5933,0.47986,0.48473,0.33415,0.5877,0.46804,0.49856,0.31316,0.56362,1.00862,5.18128,0.56405,0,0.000125472,0.000125472,0.000125472
37,8833.72,0.69993,1.02355,1.47119,0.70841,0,0.44009,0.5669,0.52361,0.36378,0.44752,0.56147,0.51916,0.32753,0.58907,1.00975,4.19825,0.57876,0,0.000123571,0.000123571,0.000123571
38,9043.73,0.67302,0.96513,1.39069,0.68216,0,0.49213,0.53997,0.49668,0.34499,0.48273,0.52786,0.49641,0.30585,0.59368,1.04195,5.00514,0.57989,0,0.00012167,0.00012167,0.00012167
39,9254.47,0.7089,1.00543,1.37606,0.71965,0,0.49333,0.54124,0.51948,0.35889,0.48022,0.5147,0.4943,0.32228,0.57823,1.00546,3.1042,0.57575,0,0.00011977,0.00011977,0.00011977
40,9465.41,0.68203,0.99785,1.30267,0.70222,0,0.43191,0.55041,0.45703,0.32089,0.45407,0.56514,0.46568,0.29455,0.5841,1.07783,5.43356,0.59409,0,0.000117869,0.000117869,0.000117869
41,9676.86,0.66682,0.95437,1.22383,0.69177,0,0.48876,0.55938,0.53216,0.36647,0.50604,0.56317,0.52697,0.32963,0.57468,0.96893,3.9274,0.56846,0,0.000115968,0.000115968,0.000115968
42,9888.21,0.6656,0.94776,1.23633,0.69903,0,0.55521,0.56157,0.54762,0.36994,0.55644,0.56174,0.55031,0.34054,0.60578,0.98752,3.87345,0.59214,0,0.000114067,0.000114067,0.000114067
43,10099.7,0.6746,0.94804,1.19902,0.69135,0,0.57385,0.55813,0.56497,0.37428,0.5745,0.55913,0.57022,0.3484,0.57742,0.9673,4.66657,0.57772,0,0.000112166,0.000112166,0.000112166
