epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.817,1.82006,6.79408,1.5664,0.00114,0.00457,0.00066,0.00066,1.73063,8.36932,1.41151,4.29358e-05,4.29358e-05,4.29358e-05
2,737.904,1.72826,6.41146,1.43808,0.85896,0.02222,0.03587,0.03017,1.63379,8.07856,1.33488,5.78003e-05,5.78003e-05,5.78003e-05
3,1130.15,1.71221,6.25302,1.38981,0.88244,0.02597,0.04773,0.03803,1.64821,7.8235,1.35902,4.40648e-05,4.40648e-05,4.40648e-05
