epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.053,2.0001,10.2296,1.78091,0.88723,0.04792,0.08046,0.0482,1.90705,10.415,1.57196,4.29358e-05,4.29358e-05,4.29358e-05
2,1236.03,1.74484,6.1241,1.58228,0.54116,0.19946,0.22527,0.13281,1.91299,7.16466,1.48201,6.91878e-05,6.91878e-05,6.91878e-05
3,1851.73,1.74573,4.77235,1.54201,0.48824,0.27564,0.30206,0.16144,1.99252,5.75389,1.5265,7.82799e-05,7.82799e-05,7.82799e-05
4,2523.6,1.69766,3.81275,1.51404,0.50298,0.36777,0.40651,0.22728,1.86615,4.68185,1.45049,5.278e-05,5.278e-05,5.278e-05
5,3201.14,1.6209,3.21966,1.43962,0.4739,0.45835,0.45676,0.26597,1.81035,4.15761,1.39206,2.704e-05,2.704e-05,2.704e-05
