epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2481.14,1.88643,25.5565,1.88161,0.80791,0.0137,0.04184,0.02808,1.25675,98.7287,1.18546,4.31346e-05,4.31346e-05,4.31346e-05
2,8557.23,1.70667,9.66868,1.69039,0.71111,0.12951,0.15627,0.08035,1.34639,52.502,1.22711,6.93472e-05,6.93472e-05,6.93472e-05
3,15866.3,1.60542,7.42053,1.59793,0.75227,0.20895,0.29352,0.15806,1.3031,35.1163,1.17892,7.83999e-05,7.83999e-05,7.83999e-05
4,18471.5,1.63359,5.7723,1.59739,0.62535,0.33865,0.31593,0.17883,1.30017,27.0448,1.16449,5.278e-05,5.278e-05,5.278e-05
5,20678.7,1.51798,4.95612,1.50508,0.60431,0.38205,0.39242,0.2147,1.29237,24.5555,1.17146,2.704e-05,2.704e-05,2.704e-05
