epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.631,2.00112,7.02932,1.72642,0.0137,0.00685,0.00678,0.00542,1.88654,8.31631,1.43933,4.29358e-05,4.29358e-05,4.29358e-05
2,1072.69,1.76827,6.59036,1.52303,0.88492,0.0274,0.04153,0.02867,1.85742,7.86111,1.42256,6.91878e-05,6.91878e-05,6.91878e-05
3,1995.81,1.75701,6.20687,1.46212,0.63541,0.09008,0.10132,0.05958,1.89992,7.74811,1.43711,7.82799e-05,7.82799e-05,7.82799e-05
4,2325.15,1.74532,5.69612,1.47846,0.50912,0.14429,0.12618,0.07687,1.95599,7.38197,1.49622,5.278e-05,5.278e-05,5.278e-05
5,2656.82,1.74045,5.42922,1.465,0.45457,0.23868,0.18422,0.10461,1.87545,7.16714,1.42598,2.704e-05,2.704e-05,2.704e-05
